商户订单号,发生时间,收入金额（+元）,支出金额（-元）,账务类型,备注,业务描述
231031-556390173653536,2023/10/31 23:04,0,-3,优惠券结算,退款扣除优惠券支付金额,0020005|交易退款-优惠券结算
231031-556390173653536,2023/10/31 23:04,3,0,优惠券结算,交易成功优惠券支付金额结算,0010005|交易收入-优惠券结算
231031-556390173653536,2023/10/31 23:04,0,-52,退款,-,0020002|交易退款-订单退款
231031-556390173653536,2023/10/31 23:04,52,0,交易收入,-,0010002|交易收入-订单收入
231031-556390173653536,2023/10/31 22:59,0,-0.33,技术服务费,-,0030002|技术服务费-基础技术服务费
231031-046310398782819,2023/10/31 21:59,72,0,交易收入,-,0010002|交易收入-订单收入
231031-046310398782819,2023/10/31 21:59,0,-72,退款,-,0020002|交易退款-订单退款
231031-046310398782819,2023/10/31 21:58,0,-0.43,技术服务费,-,0030002|技术服务费-基础技术服务费
231031-274983873930552,2023/10/31 21:44,55.1,0,交易收入,-,0010002|交易收入-订单收入
231031-274983873930552,2023/10/31 21:44,0,-55.1,退款,-,0020002|交易退款-订单退款
231031-274983873930552,2023/10/31 21:42,0,-0.55,技术服务费,先用后付技术服务费,0030005|技术服务费-先用后付技术服务费
231015-057886657533096,2023/10/31 18:54,58,0,交易收入,-,0010002|交易收入-订单收入
231015-057886657533096,2023/10/31 18:54,0,-0.35,技术服务费,-,0030002|技术服务费-基础技术服务费
231015-057886657533096,2023/10/31 18:54,0,-3,分账,新疆/西藏物流费用扣除,0140002|其他支出-分账支出
231015-686911671293096,2023/10/31 18:54,0,-0.43,技术服务费,-,0030002|技术服务费-基础技术服务费
231015-686911671293096,2023/10/31 18:54,0,-3,分账,新疆/西藏物流费用扣除,0140002|其他支出-分账支出
231015-686911671293096,2023/10/31 18:54,72,0,交易收入,-,0010002|交易收入-订单收入
231031-546911088083875,2023/10/31 17:20,0,-1.6,其他服务,消费者体验提升计划费用，扣费编号：B231031172045627-7291-0113858076,0050002|服务支出-消费者体验提升计划
231021-318950686193619,2023/10/31 16:34,0,-0.55,技术服务费,先用后付技术服务费,0030005|技术服务费-先用后付技术服务费
231021-318950686193619,2023/10/31 16:34,55,0,交易收入,-,0010002|交易收入-订单收入
231031-098529525222648,2023/10/31 16:16,0,-1.6,其他服务,消费者体验提升计划费用，扣费编号：B231031161555602-3523-0113858076,0050002|服务支出-消费者体验提升计划
231031-576009082371780,2023/10/31 15:44,0,-1.6,其他服务,消费者体验提升计划费用，扣费编号：B231031154445587-3714-0113858076,0050002|服务支出-消费者体验提升计划
231027-493417983572812,2023/10/31 14:39,0,-0.34,技术服务费,-,0030002|技术服务费-基础技术服务费
231027-493417983572812,2023/10/31 14:39,57,0,交易收入,-,0010002|交易收入-订单收入
231020-358744145370282,2023/10/30 17:04,48,0,交易收入,-,0010002|交易收入-订单收入
231020-358744145370282,2023/10/30 17:04,0,-0.33,技术服务费,-,0030002|技术服务费-基础技术服务费
231020-358744145370282,2023/10/30 17:04,7,0,优惠券结算,交易成功优惠券支付金额结算,0010005|交易收入-优惠券结算
231022-157459444773608,2023/10/30 16:29,71.25,0,交易收入,-,0010002|交易收入-订单收入
231022-157459444773608,2023/10/30 16:29,0,-71.25,退款,-,0020002|交易退款-订单退款
231022-157459444773608,2023/10/30 16:23,0,-0.71,技术服务费,先用后付技术服务费,0030005|技术服务费-先用后付技术服务费
231020-253524766341760,2023/10/30 15:39,72,0,交易收入,-,0010002|交易收入-订单收入
231020-253524766341760,2023/10/30 15:39,0,-0.43,技术服务费,-,0030002|技术服务费-基础技术服务费
231019-493533316552625,2023/10/30 13:39,47.5,0,交易收入,-,0010002|交易收入-订单收入
231019-493533316552625,2023/10/30 13:39,7.5,0,优惠券结算,交易成功优惠券支付金额结算,0010005|交易收入-优惠券结算
231019-493533316552625,2023/10/30 13:39,0,-0.33,技术服务费,-,0030002|技术服务费-基础技术服务费
231030-235772353471063,2023/10/30 13:36,0,-1.6,其他服务,消费者体验提升计划费用，扣费编号：B231030133635940-2091-0113858076,0050002|服务支出-消费者体验提升计划
231029-680798535272211,2023/10/30 13:36,0,-1.57,其他服务,消费者体验提升计划费用，扣费编号：B231030133635940-2091-0113858076,0050002|服务支出-消费者体验提升计划
231029-373125293062421,2023/10/30 13:36,0,-1.57,其他服务,消费者体验提升计划费用，扣费编号：B231030133635940-2091-0113858076,0050002|服务支出-消费者体验提升计划
231030-124670473221092,2023/10/30 13:36,0,-1.6,其他服务,消费者体验提升计划费用，扣费编号：B231030133635940-2091-0113858076,0050002|服务支出-消费者体验提升计划
